approval_perc,Date
23,Jun 2 2025
26,May 1 2025
28,Apr 1 2025
31,Mar 3 2025
29,Feb 3 2025
17,Jan 2 2025
17,Dec 2 2024
19,Nov 6 2024
16,Oct 1 2024
20,Sep 1 2024
19,Aug 1 2024
16,Jul 1 2024
16,Jun 1 2024
13,May 1 2024
16,Apr 1 2024
15,Mar 1 2024
12,Feb 1 2024
15,Jan 1 2024
15,Dec 1 2023
15,Nov 1 2023
13,Oct 2 2023
17,Sep 1 2023
19,Aug 1 2023
19,Jul 3 2023
20,Jun 1 2023
20,May 1 2023
16,Apr 1 2023
20,Mar 1 2023
18,Feb 1 2023
21,Jan 1 2023
22,Nov 1 2022
21,Oct 1 2022
23,Sep 1 2022
22,Aug 1 2022
17,Jul 1 2022
16,Jun 1 2022
18,May 1 2022
20,Apr 1 2022
21,Mar 1 2022
20,Feb 1 2022
18,Jan 1 2022
23,Dec 1 2021
20,Nov 1 2021
21,Oct 1 2021
27,Sep 1 2021
28,Aug 2 2021
26,Jul 1 2021
26,Jun 1 2021
31,May 3 2021
33,Apr 1 2021
36,Mar 1 2021
35,Feb 3 2021
25,Jan 4 2021
15,Dec 1 2020
23,Nov 5 2020
19,Oct 1 2020
17,Sep 1 2020
21,Aug 1 2020
18,Jul 1 2020
25,May 28 2020
31,May 1 2020
30,Apr 1 2020
22,Mar 2 2020
23,Feb 3 2020
23,Jan 2 2020
27,Dec 2 2019
24,Nov 1 2019
25,Oct 1 2019
18,Sep 3 2019
17,Aug 1 2019
17,Jul 1 2019
19,Jun 3 2019
20,May 1 2019
20,Apr 1 2019
26,Mar 1 2019
21,Feb 1 2019
20,Jan 2 2019
18,Dec 3 2018
21,Nov 1 2018
21,Oct 15 2018
21,Oct 1 2018
19,Sep 4 2018
17,Aug 1 2018
17,Jul 1 2018
19,Jun 1 2018
17,May 1 2018
18,Apr 2 2018
15,Mar 1 2018
15,Feb 1 2018
20,Jan 2 2018
17,Dec 4 2017
13,Nov 2 2017
13,Oct 5 2017
16,Sep 6 2017
16,Aug 2 2017
20,Jul 5 2017
21,Jun 7 2017
20,May 3 2017
20,Apr 1 2017
24,Mar 1 2017
28,Feb 1 2017
19,Jan 4 2017
18,Dec 7 2016
19,Nov 9 2016
18,Oct 5 2016
20,Sep 7 2016
18,Aug 3 2016
13,Jul 13 2016
16,Jun 1 2016
18,May 4 2016
17,Apr 6 2016
13,Mar 2 2016
14,Feb 3 2016
16,Jan 6 2016
13,Dec 2 2015
11,Nov 4 2015
13,Oct 7 2015
14,Sep 9 2015
14,Aug 5 2015
17,Jul 8 2015
17,Jun 2 2015
19,May 6 2015
15,Apr 9 2015
18,Mar 5 2015
20,Feb 8 2015
16,Jan 5 2015
16,Dec 8 2014
15,Nov 6 2014
20,Oct 29 2014
14,Oct 12 2014
14,Sep 4 2014
13,Aug 7 2014
15,Jul 7 2014
16,Jun 5 2014
15,May 8 2014
13,Apr 3 2014
15,Mar 6 2014
12,Feb 6 2014
13,Jan 5 2014
12,Dec 5 2013
9,Nov 7 2013
11,Oct 3 2013
19,Sep 5 2013
14,Aug 7 2013
15,Jul 10 2013
17,Jun 1 2013
16,May 2 2013
15,Apr 4 2013
13,Mar 7 2013
15,Feb 7 2013
14,Jan 7 2013
18,Dec 14 2012
18,Nov 15 2012
21,Oct 15 2012
13,Sep 6 2012
10,Aug 9 2012
16,Jul 9 2012
17,Jun 7 2012
15,May 3 2012
17,Apr 9 2012
12,Mar 8 2012
10,Feb 2 2012
13,Jan 5 2012
11,Dec 15 2011
13,Nov 3 2011
13,Oct 6 2011
15,Sep 8 2011
13,Aug 11 2011
18,Jul 7 2011
17,Jun 9 2011
24,May 5 2011
17,Apr 7 2011
18,Mar 3 2011
23,Feb 2 2011
20,Jan 7 2011
13,Dec 10 2010
17,Nov 4 2010
21,Oct 28 2010
21,Oct 7 2010
18,Sep 13 2010
19,Aug 5 2010
20,Jul 8 2010
20,Jun 11 2010
21,May 3 2010
23,Apr 8 2010
16,Mar 4 2010
18,Feb 1 2010
24,Jan 8 2010
25,Dec 11 2009
26,Nov 5 2009
21,Oct 1 2009
31,Aug 31 2009
31,Aug 6 2009
32,Jul 10 2009
33,Jun 14 2009
37,May 7 2009
36,Apr 6 2009
39,Mar 5 2009
31,Feb 9 2009
19,Jan 9 2009
